family_id,dataset,image_id,category_id,category_name,prompt,is_prompt_absent,num_candidates,num_rejected,fp,tp,fdp
coco:48:1:143,coco,48,1,aeroplane,aeroplane,True,38,0,0,0,0.0
coco:490:13:1468,coco,490,13,horse,horse,True,5,0,0,0,0.0
coco:490:16:1467,coco,490,16,pottedplant,pottedplant,False,21,0,0,0,0.0
coco:491:12:1470,coco,491,12,dog,dog,False,1,0,0,0,0.0
coco:491:15:1472,coco,491,15,person,person,True,31,0,0,0,0.0
coco:493:14:1477,coco,493,14,motorbike,motorbike,True,3,0,0,0,0.0
coco:494:20:1481,coco,494,20,tvmonitor,tvmonitor,True,10,0,0,0,0.0
coco:495:15:1482,coco,495,15,person,person,False,9,0,0,0,0.0
coco:495:3:1483,coco,495,3,bird,bird,True,2,0,0,0,0.0
coco:496:11:1487,coco,496,11,diningtable,diningtable,True,9,0,0,0,0.0
coco:497:15:1488,coco,497,15,person,person,False,19,0,0,0,0.0
coco:497:6:1490,coco,497,6,bus,bus,True,3,0,0,0,0.0
coco:498:14:1492,coco,498,14,motorbike,motorbike,True,5,0,0,0,0.0
coco:498:19:1493,coco,498,19,train,train,True,26,0,0,0,0.0
coco:498:7:1491,coco,498,7,car,car,False,41,0,0,0,0.0
coco:499:15:1494,coco,499,15,person,person,False,49,0,0,0,0.0
coco:499:6:1496,coco,499,6,bus,bus,True,9,0,0,0,0.0
coco:499:7:1495,coco,499,7,car,car,True,2,0,0,0,0.0
coco:49:10:146,coco,49,10,cow,cow,True,5,0,0,0,0.0
coco:49:13:145,coco,49,13,horse,horse,True,4,0,0,0,0.0
coco:49:15:144,coco,49,15,person,person,False,3,0,0,0,0.0
coco:4:10:9,coco,4,10,cow,cow,False,7,0,0,0,0.0
coco:500:5:1497,coco,500,5,bottle,bottle,False,5,0,0,0,0.0
coco:501:2:1500,coco,501,2,bicycle,bicycle,False,11,0,0,0,0.0
coco:502:15:1503,coco,502,15,person,person,False,12,0,0,0,0.0
coco:503:15:1507,coco,503,15,person,person,True,21,0,0,0,0.0
coco:503:20:1506,coco,503,20,tvmonitor,tvmonitor,False,27,0,0,0,0.0
coco:503:9:1508,coco,503,9,chair,chair,True,21,0,0,0,0.0
coco:504:9:1509,coco,504,9,chair,chair,False,29,0,0,0,0.0
coco:505:15:1512,coco,505,15,person,person,False,55,0,0,0,0.0
coco:507:3:1519,coco,507,3,bird,bird,True,16,0,0,0,0.0
coco:507:4:1520,coco,507,4,boat,boat,True,3,0,0,0,0.0
coco:50:15:147,coco,50,15,person,person,False,16,0,0,0,0.0
coco:50:3:148,coco,50,3,bird,bird,True,1,0,0,0,0.0
coco:511:8:1532,coco,511,8,cat,cat,True,1,0,0,0,0.0
coco:512:2:1535,coco,512,2,bicycle,bicycle,True,8,0,0,0,0.0
coco:512:7:1533,coco,512,7,car,car,False,10,0,0,0,0.0
coco:513:20:1537,coco,513,20,tvmonitor,tvmonitor,True,21,0,0,0,0.0
coco:514:1:1541,coco,514,1,aeroplane,aeroplane,True,6,0,0,0,0.0
coco:514:2:1540,coco,514,2,bicycle,bicycle,True,7,0,0,0,0.0
coco:516:1:1545,coco,516,1,aeroplane,aeroplane,False,2,0,0,0,0.0
coco:517:11:1549,coco,517,11,diningtable,diningtable,True,14,0,0,0,0.0
coco:517:20:1550,coco,517,20,tvmonitor,tvmonitor,True,11,0,0,0,0.0
coco:518:15:1551,coco,518,15,person,person,False,2,0,0,0,0.0
coco:518:2:1553,coco,518,2,bicycle,bicycle,True,6,0,0,0,0.0
coco:518:8:1552,coco,518,8,cat,cat,True,3,0,0,0,0.0
coco:51:6:151,coco,51,6,bus,bus,True,3,0,0,0,0.0
coco:520:12:1559,coco,520,12,dog,dog,True,3,0,0,0,0.0
coco:520:18:1558,coco,520,18,sofa,sofa,True,11,0,0,0,0.0
coco:520:4:1557,coco,520,4,boat,boat,False,29,0,0,0,0.0
