template_count,template,seeds,own_model_rate,phi_max_mean,phi_max_p95,phi_max_max,fit_families_mean,cal_families_mean,fit_candidates_mean,cal_candidates_mean
200,a photo containing a {category},20,0.0,9.884931352648831,14.149064872690282,14.206956102144732,3.5,0.75,157.1,25.2
200,a photo of a {category},20,0.5,7.789962814396442,14.149064872690282,14.206956102144732,5.5,2.15,118.25,40.7
200,a photographic {category},20,0.65,4.7852272607113004,12.92133871765474,13.410026079397277,4.1,1.45,132.45,47.15
200,a picture with a {category},20,0.7,6.558199875106449,13.669612449499873,13.83028147699758,5.35,1.7,200.1,50.9
200,a possible instance of {category},20,0.55,6.829345481213605,13.572251470388629,13.83028147699758,4.35,2.05,179.15,83.95
200,a real {category},20,0.9,4.688912987693821,13.316943878330202,13.558670943725,5.0,1.15,193.2,44.75
200,a real-world {category},20,0.2,8.369908396821586,13.68844618075723,14.206956102144732,1.85,0.55,21.4,6.25
200,a scene featuring a {category},20,0.25,11.370980981759685,13.669612449499873,13.83028147699758,4.4,1.45,117.75,43.55
200,a scene lacking a {category},20,0.45,8.349241161675494,14.149064872690282,14.206956102144732,6.8,1.8,203.1,60.7
200,a sharp {category},20,0.65,5.963620417406354,13.846068301441546,14.14601796587689,4.7,1.1,78.25,24.45
200,a side view of a {category},20,0.0,11.87715384888341,14.149064872690282,14.206956102144732,3.55,1.25,50.55,19.4
200,a single {category},20,0.2,10.402795895528593,13.572251470388629,13.83028147699758,6.3,3.25,215.95,122.5
200,a sitting {category},20,0.8,10.97127122621467,15.433956521739137,28.23913043478261,3.6,1.15,247.15,68.8
200,a small {category} near the center,20,0.65,6.343972883629194,13.240429922495256,14.206956102144732,6.45,2.3,91.25,33.4
200,a sparse scene with a {category},20,0.75,5.093284352379412,6.796815714334971,13.335491241431836,6.55,2.4,235.25,90.05
200,a sports scene with a {category},20,0.85,3.7046902412402445,5.923316302076838,14.14601796587689,3.8,1.7,92.1,42.5
200,a stacked {category},20,0.5,5.6934759011760345,13.042905279258607,13.410026079397277,2.0,0.45,32.75,5.7
200,a standing {category},20,0.6,4.350126261002834,13.44987258053465,14.206956102144732,2.45,0.75,78.9,29.0
200,a street scene containing a {category},20,0.6,4.018422103336881,5.014450181097908,5.566885857297085,3.3,1.55,121.9,62.5
200,a surveillance-style view of a {category},20,0.0,11.264191507047148,14.149064872690282,14.206956102144732,4.35,1.5,166.7,65.15
200,a suspected {category},20,0.6,3.9636177752007433,5.615702058259392,6.54320987654321,6.7,1.95,172.5,52.0
200,a tiny {category},20,0.6,5.885217885785246,14.149064872690282,14.206956102144732,4.15,1.6,106.85,37.65
200,a traffic scene with a {category},20,0.65,6.052060808851461,12.95813831197872,14.14601796587689,4.75,0.95,102.55,18.4
200,a vehicle scene with a {category},20,0.55,5.691442117514536,13.42258258467215,13.66115618489473,4.3,1.55,121.95,38.15
200,a visible instance of {category},20,0.45,3.919057556360783,7.536585365853659,7.536585365853659,0.9,0.4,49.5,25.5
200,a visible {category} in the scene,20,0.65,7.41658715388167,13.68844618075723,14.206956102144732,5.55,2.55,153.35,52.8
200,a wide-angle view with a {category},20,0.6,6.906231123355189,13.063918049138623,13.83028147699758,4.25,1.25,39.7,11.15
200,a zoomed view of a {category},20,0.85,4.701621885660961,13.305784893215543,13.335491241431836,5.0,1.5,258.2,94.8
200,a {category} among other objects,20,0.6,7.132706463404628,13.588038294832595,14.14601796587689,3.95,1.3,133.8,32.2
200,a {category} at an unusual angle,20,0.0,9.646179894217207,13.588038294832595,14.14601796587689,5.5,2.05,123.8,41.75
200,a {category} at large scale,20,0.75,4.450782463338497,11.657301160855074,13.335491241431836,4.05,1.55,97.15,44.75
200,a {category} at medium scale,20,0.7,7.412814485255728,13.846068301441546,14.14601796587689,3.95,1.35,89.15,29.45
200,a {category} at small scale,20,0.0,12.516549917521544,14.149064872690282,14.206956102144732,3.05,1.25,114.45,25.2
200,a {category} at the bottom of the image,20,0.75,7.106651341781922,13.157488847785878,13.335491241431836,6.3,2.45,228.75,128.35
200,a {category} at the left side,20,0.9,3.423409502030521,5.402604690200555,5.689655172413794,3.35,1.3,86.35,33.05
200,a {category} at the right side,20,0.7,5.531566365346738,13.305784893215543,13.335491241431836,8.85,2.95,176.3,66.5
200,a {category} at the top of the image,20,0.0,12.492869347488075,14.149064872690282,14.206956102144732,3.7,1.2,80.75,34.95
200,a {category} attached to something,20,0.0,11.098888503953393,14.149064872690282,14.206956102144732,1.4,0.2,14.8,2.1
200,a {category} away from the image center,20,1.0,3.474684958650143,5.679176879084967,5.718954248366012,8.75,1.95,143.9,36.2
200,a {category} barely visible,20,0.0,3.3941143940541236,4.998733439253463,5.252551020408164,1.6,0.65,79.4,30.6
200,a {category} behind another object,20,0.0,12.14153543934798,14.149064872690282,14.206956102144732,4.5,1.45,151.5,53.8
200,a {category} beside a person,20,0.75,4.9253857406976485,13.44987258053465,14.206956102144732,5.55,1.85,129.4,43.4
200,a {category} candidate box,20,0.8,6.188296351834926,13.309511635113816,13.410026079397277,7.45,2.4,188.15,58.5
200,a {category} cluster,20,0.0,11.629635127655288,14.149064872690282,14.206956102144732,3.75,1.35,55.35,19.0
200,a {category} cropped by the frame,20,0.55,7.368505692402192,13.68844618075723,14.206956102144732,4.3,1.9,76.8,32.65
200,a {category} detection target,20,0.95,3.61242669435671,8.714856142679544,13.410026079397277,7.2,1.9,89.95,28.15
200,a {category} facing the camera,20,0.65,3.235511076571008,5.462907212701338,5.568395061728395,5.0,1.2,229.4,59.05
200,a {category} far from the camera,20,0.9,6.405289843173262,13.157488847785878,13.335491241431836,7.65,2.45,139.0,49.65
