alpha,num_test_families,num_rejected_families,total_rejections,fp,tp,fdp,recall,mean_family_fdp,score_floor,total_pruned,seed,method,stratum_fine
0.2,34,25,54,7,47,0.12962962962962962,0.23737373737373738,0.11764705882352941,0.4,1045,2,betting,21<=K<=50
0.2,86,36,38,3,35,0.07894736842105263,0.5833333333333334,0.029069767441860465,0.4,78,2,betting,K<=2
0.2,53,30,39,3,36,0.07692307692307693,0.4675324675324675,0.03773584905660377,0.4,160,2,betting,3<=K<=5
0.2,33,18,31,5,26,0.16129032258064516,0.3058823529411765,0.0808080808080808,0.4,417,2,betting,11<=K<=20
0.2,4,4,53,40,13,0.7547169811320755,0.3333333333333333,0.5738095238095238,0.4,370,2,betting,K>50
0.05,96,18,18,0,18,0.0,0.29508196721311475,0.0,0.4,97,3,betting,K<=2
0.05,36,4,6,0,6,0.0,0.02843601895734597,0.0,0.4,1107,3,betting,21<=K<=50
0.05,46,15,18,0,18,0.0,0.2727272727272727,0.0,0.4,149,3,betting,3<=K<=5
0.05,34,8,12,2,10,0.16666666666666666,0.17543859649122806,0.04411764705882353,0.4,231,3,betting,6<=K<=10
0.05,28,10,14,0,14,0.0,0.1728395061728395,0.0,0.4,357,3,betting,11<=K<=20
0.05,9,0,0,0,0,0.0,0.0,0.0,0.4,828,3,betting,K>50
0.1,96,22,22,0,22,0.0,0.36065573770491804,0.0,0.4,97,3,betting,K<=2
0.1,36,12,21,4,17,0.19047619047619047,0.08056872037914692,0.041666666666666664,0.4,1107,3,betting,21<=K<=50
0.1,46,21,25,0,25,0.0,0.3787878787878788,0.0,0.4,149,3,betting,3<=K<=5
0.1,34,15,22,3,19,0.13636363636363635,0.3333333333333333,0.07352941176470588,0.4,231,3,betting,6<=K<=10
0.1,28,12,17,0,17,0.0,0.20987654320987653,0.0,0.4,357,3,betting,11<=K<=20
0.1,9,0,0,0,0,0.0,0.0,0.0,0.4,828,3,betting,K>50
0.15,96,22,22,0,22,0.0,0.36065573770491804,0.0,0.4,97,3,betting,K<=2
0.15,36,13,22,4,18,0.18181818181818182,0.08530805687203792,0.041666666666666664,0.4,1107,3,betting,21<=K<=50
0.15,46,21,25,0,25,0.0,0.3787878787878788,0.0,0.4,149,3,betting,3<=K<=5
0.15,34,15,22,3,19,0.13636363636363635,0.3333333333333333,0.07352941176470588,0.4,231,3,betting,6<=K<=10
0.15,28,12,18,0,18,0.0,0.2222222222222222,0.0,0.4,357,3,betting,11<=K<=20
0.15,9,0,0,0,0,0.0,0.0,0.0,0.4,828,3,betting,K>50
0.2,96,25,25,0,25,0.0,0.4098360655737705,0.0,0.4,97,3,betting,K<=2
0.2,36,22,44,8,36,0.18181818181818182,0.17061611374407584,0.08333333333333333,0.4,1107,3,betting,21<=K<=50
0.2,46,26,32,2,30,0.0625,0.45454545454545453,0.043478260869565216,0.4,149,3,betting,3<=K<=5
0.2,34,19,28,3,25,0.10714285714285714,0.43859649122807015,0.07352941176470588,0.4,231,3,betting,6<=K<=10
0.2,28,16,30,3,27,0.1,0.3333333333333333,0.041666666666666664,0.4,357,3,betting,11<=K<=20
0.2,9,4,24,20,4,0.8333333333333334,0.05194805194805195,0.2777777777777778,0.4,828,3,betting,K>50
0.05,96,21,23,0,23,0.0,0.3150684931506849,0.0,0.4,97,4,betting,K<=2
0.05,26,3,12,6,6,0.5,0.0375,0.03296703296703297,0.4,795,4,betting,21<=K<=50
0.05,32,13,23,0,23,0.0,0.3026315789473684,0.0,0.4,212,4,betting,6<=K<=10
0.05,32,11,13,1,12,0.07692307692307693,0.11428571428571428,0.03125,0.4,404,4,betting,11<=K<=20
0.05,53,16,22,1,21,0.045454545454545456,0.25,0.018867924528301886,0.4,163,4,betting,3<=K<=5
0.05,10,1,1,0,1,0.0,0.009523809523809525,0.0,0.4,1084,4,betting,K>50
0.1,96,30,32,0,32,0.0,0.4383561643835616,0.0,0.4,97,4,betting,K<=2
0.1,26,7,27,8,19,0.2962962962962963,0.11875,0.034188034188034185,0.4,795,4,betting,21<=K<=50
0.1,32,19,31,3,28,0.0967741935483871,0.3684210526315789,0.078125,0.4,212,4,betting,6<=K<=10
0.1,32,13,15,1,14,0.06666666666666667,0.13333333333333333,0.03125,0.4,404,4,betting,11<=K<=20
0.1,53,19,26,1,25,0.038461538461538464,0.2976190476190476,0.018867924528301886,0.4,163,4,betting,3<=K<=5
0.1,10,2,15,2,13,0.13333333333333333,0.12380952380952381,0.014285714285714285,0.4,1084,4,betting,K>50
0.15,96,30,32,0,32,0.0,0.4383561643835616,0.0,0.4,97,4,betting,K<=2
0.15,26,10,39,9,30,0.23076923076923078,0.1875,0.0438034188034188,0.4,795,4,betting,21<=K<=50
0.15,32,21,34,3,31,0.08823529411764706,0.40789473684210525,0.078125,0.4,212,4,betting,6<=K<=10
