alpha,num_test_families,num_rejected_families,total_rejections,fp,tp,fdp,recall,mean_family_fdp,seed,method
0.15,238,171,286,20,266,0.06993006993006994,0.7189189189189189,0.03674136321195145,16,pvalue_bh
0.2,238,181,306,28,278,0.0915032679738562,0.7513513513513513,0.053898225957049496,16,pvalue_bh
0.05,238,102,136,2,134,0.014705882352941176,0.3526315789473684,0.0035014005602240893,17,betting
0.1,238,115,150,2,148,0.013333333333333334,0.3894736842105263,0.0035014005602240893,17,betting
0.15,238,120,156,2,154,0.01282051282051282,0.4052631578947368,0.0035014005602240893,17,betting
0.2,238,121,157,2,155,0.012738853503184714,0.40789473684210525,0.0035014005602240893,17,betting
0.05,238,0,0,0,0,0.0,0.0,0.0,17,binary
0.1,238,0,0,0,0,0.0,0.0,0.0,17,binary
0.15,238,0,0,0,0,0.0,0.0,0.0,17,binary
0.2,238,0,0,0,0,0.0,0.0,0.0,17,binary
0.05,238,132,180,4,176,0.022222222222222223,0.4631578947368421,0.011904761904761904,17,pvalue_bh
0.1,238,164,253,19,234,0.07509881422924901,0.6157894736842106,0.04173669467787115,17,pvalue_bh
0.15,238,178,300,28,272,0.09333333333333334,0.7157894736842105,0.05651260504201681,17,pvalue_bh
0.2,238,188,323,33,290,0.1021671826625387,0.7631578947368421,0.06526610644257702,17,pvalue_bh
0.05,238,93,108,0,108,0.0,0.3176470588235294,0.0,18,betting
0.1,238,102,118,0,118,0.0,0.34705882352941175,0.0,18,betting
0.15,238,104,120,0,120,0.0,0.35294117647058826,0.0,18,betting
0.2,238,104,120,0,120,0.0,0.35294117647058826,0.0,18,betting
0.05,238,0,0,0,0,0.0,0.0,0.0,18,binary
0.1,238,0,0,0,0,0.0,0.0,0.0,18,binary
0.15,238,0,0,0,0,0.0,0.0,0.0,18,binary
0.2,238,0,0,0,0,0.0,0.0,0.0,18,binary
0.05,238,150,198,3,195,0.015151515151515152,0.5735294117647058,0.0058823529411764705,18,pvalue_bh
0.1,238,169,241,11,230,0.04564315352697095,0.6764705882352942,0.01834733893557423,18,pvalue_bh
0.15,238,178,267,20,247,0.0749063670411985,0.7264705882352941,0.03800520208083233,18,pvalue_bh
0.2,238,183,279,24,255,0.08602150537634409,0.75,0.04780912364945978,18,pvalue_bh
0.05,238,125,155,0,155,0.0,0.3743961352657005,0.0,19,betting
0.1,238,137,178,1,177,0.0056179775280898875,0.427536231884058,0.004201680672268907,19,betting
0.15,238,150,206,3,203,0.014563106796116505,0.49033816425120774,0.009803921568627449,19,betting
0.2,238,161,232,3,229,0.01293103448275862,0.5531400966183575,0.009803921568627449,19,betting
0.05,238,0,0,0,0,0.0,0.0,0.0,19,binary
0.1,238,0,0,0,0,0.0,0.0,0.0,19,binary
0.15,238,0,0,0,0,0.0,0.0,0.0,19,binary
0.2,238,0,0,0,0,0.0,0.0,0.0,19,binary
0.05,238,171,276,4,272,0.014492753623188406,0.6570048309178744,0.01050420168067227,19,pvalue_bh
0.1,238,182,322,11,311,0.034161490683229816,0.751207729468599,0.021358543417366947,19,pvalue_bh
0.15,238,190,344,17,327,0.04941860465116279,0.7898550724637681,0.03606442577030812,19,pvalue_bh
0.2,238,197,364,20,344,0.054945054945054944,0.8309178743961353,0.03796623912722984,19,pvalue_bh
