seed,alpha,iou_thresh,n_candidates,n_clusters,compression_ratio,mean_cluster_size,max_cluster_size,nms_rej,nms_fp,nms_tp,nms_tp_members,nms_fdp_pooled,nms_family_fdp_mean,nms_recall_cluster,nms_recall_members,base_rej,base_fp,base_tp,base_fdp_pooled,base_family_fdp_mean,base_recall,total_tp_clusters,nms_hit_tp_clusters,base_hit_tp_clusters,nms_recall_object,base_recall_object
14,0.05,0.7,5911,5911,1.0,1.0,1,92,3,89,89,0.03260869565217391,0.002482929857231533,0.12696148359486448,0.12696148359486448,92,3,89,0.03260869565217391,0.002482929857231533,0.12696148359486448,701,89,89,0.12696148359486448,0.12696148359486448
14,0.1,0.7,5911,5911,1.0,1.0,1,120,3,117,117,0.025,0.002482929857231533,0.16690442225392296,0.16690442225392296,120,3,117,0.025,0.002482929857231533,0.16690442225392296,701,117,117,0.16690442225392296,0.16690442225392296
14,0.15,0.7,5911,5911,1.0,1.0,1,137,5,132,132,0.0364963503649635,0.003155390026898407,0.18830242510699002,0.18830242510699002,137,5,132,0.0364963503649635,0.003155390026898407,0.18830242510699002,701,132,132,0.18830242510699002,0.18830242510699002
14,0.2,0.7,5911,5911,1.0,1.0,1,149,6,143,143,0.040268456375838924,0.005017587419822057,0.20399429386590584,0.20399429386590584,149,6,143,0.040268456375838924,0.005017587419822057,0.20399429386590584,701,143,143,0.20399429386590584,0.20399429386590584
15,0.05,0.7,6204,6204,1.0,1.0,1,86,3,83,83,0.03488372093023256,0.00558659217877095,0.11823361823361823,0.11823361823361823,86,3,83,0.03488372093023256,0.00558659217877095,0.11823361823361823,702,83,83,0.11823361823361823,0.11823361823361823
15,0.1,0.7,6204,6204,1.0,1.0,1,109,3,106,106,0.027522935779816515,0.00558659217877095,0.150997150997151,0.150997150997151,109,3,106,0.027522935779816515,0.00558659217877095,0.150997150997151,702,106,106,0.150997150997151,0.150997150997151
15,0.15,0.7,6204,6204,1.0,1.0,1,135,4,131,131,0.02962962962962963,0.0074487895716946,0.1866096866096866,0.1866096866096866,135,4,131,0.02962962962962963,0.0074487895716946,0.1866096866096866,702,131,131,0.1866096866096866,0.1866096866096866
15,0.2,0.7,6204,6204,1.0,1.0,1,142,8,134,134,0.056338028169014086,0.0148975791433892,0.1908831908831909,0.1908831908831909,142,8,134,0.056338028169014086,0.0148975791433892,0.1908831908831909,702,134,134,0.1908831908831909,0.1908831908831909
16,0.05,0.7,5904,5904,1.0,1.0,1,99,4,95,95,0.04040404040404041,0.004345127250155183,0.12717536813922356,0.12717536813922356,99,4,95,0.04040404040404041,0.004345127250155183,0.12717536813922356,747,95,95,0.12717536813922356,0.12717536813922356
16,0.1,0.7,5904,5904,1.0,1.0,1,134,6,128,128,0.04477611940298507,0.0066728739913097445,0.1713520749665328,0.1713520749665328,134,6,128,0.04477611940298507,0.0066728739913097445,0.1713520749665328,747,128,128,0.1713520749665328,0.1713520749665328
16,0.15,0.7,5904,5904,1.0,1.0,1,150,7,143,143,0.04666666666666667,0.008535071384233395,0.19143239625167335,0.19143239625167335,150,7,143,0.04666666666666667,0.008535071384233395,0.19143239625167335,747,143,143,0.19143239625167335,0.19143239625167335
16,0.2,0.7,5904,5904,1.0,1.0,1,162,9,153,153,0.05555555555555555,0.011328367473618872,0.20481927710843373,0.20481927710843373,162,9,153,0.05555555555555555,0.011328367473618872,0.20481927710843373,747,153,153,0.20481927710843373,0.20481927710843373
17,0.05,0.7,5551,5551,1.0,1.0,1,102,1,101,101,0.00980392156862745,0.00186219739292365,0.16476345840130505,0.16476345840130505,102,1,101,0.00980392156862745,0.00186219739292365,0.16476345840130505,613,101,101,0.16476345840130505,0.16476345840130505
17,0.1,0.7,5551,5551,1.0,1.0,1,122,5,117,117,0.040983606557377046,0.0032898820608317815,0.19086460032626426,0.19086460032626426,122,5,117,0.040983606557377046,0.0032898820608317815,0.19086460032626426,613,117,117,0.19086460032626426,0.19086460032626426
17,0.15,0.7,5551,5551,1.0,1.0,1,136,7,129,129,0.051470588235294115,0.007014276846679081,0.21044045676998369,0.21044045676998369,136,7,129,0.051470588235294115,0.007014276846679081,0.21044045676998369,613,129,129,0.21044045676998369,0.21044045676998369
17,0.2,0.7,5551,5551,1.0,1.0,1,150,8,142,142,0.05333333333333334,0.00887647423960273,0.23164763458401305,0.23164763458401305,150,8,142,0.05333333333333334,0.00887647423960273,0.23164763458401305,613,142,142,0.23164763458401305,0.23164763458401305
