dataset,detector,alpha,bin,n_candidates,n_rejections,pooled_fdp,recall,loo_mean,per_family_fdp,pass_rate
COCO val,GDino,0.1,clock,56.6,2.75,0.075,0.5325274725274725,2.992369346317088,0.07916666666666666,0.8
COCO val,GDino,0.1,couch,30.65,1.4,0.075,0.4647619047619047,3.08284295160791,0.075,0.8
COCO val,GDino,0.1,cow,48.8,2.25,0.1775,0.2799226590403061,1.6265655392960248,0.19166666666666668,0.65
COCO val,GDino,0.1,cup,89.45,1.35,0.05583333333333333,0.18985680985680986,1.52419629711965,0.04722222222222222,0.8
COCO val,GDino,0.1,dining table,65.6,0.0,0.0,0.0,0.553961563740735,0.0,1.0
COCO val,GDino,0.1,dog,30.35,2.2,0.0,0.6098484848484849,0.553650817305501,0.0,1.0
COCO val,GDino,0.1,donut,44.35,2.6,0.021111111111111112,0.4066666666666666,0.670761647410918,0.021111111111111112,0.9
COCO val,GDino,0.1,elephant,60.95,3.6,0.0,0.24347717712044087,0.7226854783269013,0.0,1.0
COCO val,GDino,0.1,fire hydrant,14.25,1.1,0.0,0.55,0.6377221215190583,0.0,1.0
COCO val,GDino,0.1,fork,51.3,0.35,0.0,0.22916666666666666,0.4947048832904183,0.0,1.0
COCO val,GDino,0.1,frisbee,22.05,2.1,0.0,0.85,0.46453375922081985,0.0,1.0
COCO val,GDino,0.1,giraffe,29.8,3.4,0.0,0.40842447026657547,0.49574803409298945,0.0,1.0
COCO val,GDino,0.1,hair drier,8.7,0.0,0.0,0.0,0.4508300838478886,0.0,1.0
COCO val,GDino,0.1,handbag,156.26315789473685,0.21052631578947367,0.0,0.05087719298245614,0.6891730054445189,0.0,1.0
COCO val,GDino,0.1,horse,42.4,3.3,0.04365079365079365,0.4283183225443287,1.3288833492567786,0.065,0.8
COCO val,GDino,0.1,hot dog,33.1,1.3,0.0,0.10141806722689076,0.7740064503047557,0.0,1.0
COCO val,GDino,0.1,keyboard,14.0,0.75,0.0,0.5083333333333333,0.7727966141390659,0.0,1.0
COCO val,GDino,0.1,kite,42.15,0.75,0.0,0.21857142857142858,0.6019066995733559,0.0,1.0
COCO val,GDino,0.1,knife,48.35,0.2,0.0,0.08416666666666667,0.4612376552581162,0.0,1.0
COCO val,GDino,0.1,laptop,24.75,1.3,0.029166666666666664,0.48583333333333334,0.7781967733564228,0.029166666666666664,0.9
COCO val,GDino,0.1,microwave,33.95,0.1,0.0,0.1,0.9779222815927315,0.0,1.0
COCO val,GDino,0.1,motorcycle,40.3,0.7,0.0,0.17467805070746248,0.5651948737462584,0.0,1.0
COCO val,GDino,0.1,mouse,17.6,0.5,0.0,0.4,0.701816868339592,0.0,1.0
COCO val,GDino,0.1,orange,40.85,0.35,0.03333333333333333,0.21666666666666665,1.6806973800068896,0.025,0.95
COCO val,GDino,0.1,oven,25.94736842105263,0.0,0.0,0.0,0.9998056081327271,0.0,1.0
COCO val,GDino,0.1,parking meter,29.4,0.2,0.2,0.0,2.841194529575408,0.2,0.8
COCO val,GDino,0.1,person,1227.7,47.3,0.025103375609291056,0.23739871705354137,1.5177791086790158,0.011990728502854407,1.0
COCO val,GDino,0.1,pizza,43.78947368421053,1.368421052631579,0.0,0.27382493237756395,0.9097088197909537,0.0,1.0
COCO val,GDino,0.1,potted plant,29.6,1.5,0.135,0.2865079365079365,1.5325486644496824,0.14166666666666666,0.8
COCO val,GDino,0.1,refrigerator,27.35,0.45,0.0,0.2583333333333333,0.7249856608462684,0.0,1.0
COCO val,GDino,0.1,remote,61.35,0.25,0.0,0.09908424908424909,0.4757892797196156,0.0,1.0
COCO val,GDino,0.1,sandwich,26.45,0.3,0.0,0.20555555555555555,0.44118405312635334,0.0,1.0
COCO val,GDino,0.1,scissors,25.0,0.0,0.0,0.0,0.5176254570088958,0.0,1.0
COCO val,GDino,0.1,sheep,53.35,2.05,0.0,0.17685935581446416,1.0249884003416472,0.0,1.0
COCO val,GDino,0.1,sink,39.55,0.9,0.0,0.2090376984126984,0.5729259434230444,0.0,1.0
COCO val,GDino,0.1,skateboard,45.55,0.55,0.0,0.2463095238095238,1.1873877500751413,0.0,1.0
COCO val,GDino,0.1,skis,111.95,0.55,0.0,0.060784285159285155,0.5478675005873855,0.0,1.0
COCO val,GDino,0.1,snowboard,25.8,0.75,0.0,0.20476190476190476,0.6232314943924667,0.0,1.0
COCO val,GDino,0.1,spoon,45.2,0.0,0.0,0.0,0.6641459585485637,0.0,1.0
COCO val,GDino,0.1,sports ball,34.35,0.0,0.0,0.0,0.41057153999237067,0.0,1.0
COCO val,GDino,0.1,stop sign,26.1,1.05,0.0,0.6,0.5417940030884004,0.0,1.0
COCO val,GDino,0.1,suitcase,135.35,0.45,0.0,0.12879407795506864,0.5953421503699348,0.0,1.0
COCO val,GDino,0.1,surfboard,37.65,1.7,0.0,0.3226984126984127,0.5127362527482459,0.0,1.0
COCO val,GDino,0.1,teddy bear,79.45,2.25,0.0625,0.36385634293242985,0.9944549699672912,0.04583333333333333,0.75
COCO val,GDino,0.1,tennis racket,31.2,0.0,0.0,0.0,0.4476805406053825,0.0,1.0
COCO val,GDino,0.1,tie,88.55,1.8,0.0,0.2985732323232323,0.5134596340937906,0.0,1.0
COCO val,GDino,0.1,toaster,11.4,0.15,0.0,0.1125,0.41093589893235116,0.0,1.0
COCO val,GDino,0.1,toilet,43.8,2.1,0.029166666666666664,0.37656746031746036,0.7629693800763114,0.029166666666666664,0.9
COCO val,GDino,0.1,toothbrush,25.05,0.25,0.25,0.0,0.9208838909186248,0.25,0.75
COCO val,GDino,0.1,traffic light,78.0,0.4,0.0,0.08506132756132756,0.6100663551683677,0.0,1.0
COCO val,GDino,0.1,train,75.9,3.7,0.0,0.6526902876535229,0.5906862896082055,0.0,1.0
COCO val,GDino,0.1,truck,207.1,0.0,0.0,0.0,0.5078461120453015,0.0,1.0
COCO val,GDino,0.1,tv,22.45,0.6,0.0,0.24083333333333332,0.5043691055396972,0.0,1.0
COCO val,GDino,0.1,umbrella,75.8,0.65,0.0225,0.13523809523809524,0.6363773198806499,0.01875,0.9
COCO val,GDino,0.1,vase,64.45,0.2,0.0,0.06488095238095239,0.7326968949622156,0.0,1.0
COCO val,GDino,0.1,wine glass,40.3,1.7,0.0,0.2326062753036437,0.7991068111184264,0.0,1.0
COCO val,GDino,0.1,zebra,64.15,6.9,0.0,0.4261228394698689,0.7302762719528498,0.0,1.0
COCO val,GDino,0.15,airplane,35.6,1.6,0.0,0.4451190476190476,0.5346995784198527,0.0,1.0
COCO val,GDino,0.15,apple,94.85,0.9,0.04,0.11950757575757576,1.438389539653101,0.03333333333333333,0.9
COCO val,GDino,0.15,backpack,86.0,0.6,0.0,0.10574404761904761,0.5747142611214917,0.0,1.0
COCO val,GDino,0.15,banana,83.25,0.5,0.0,0.1418693134822167,0.6358335286216082,0.0,1.0
COCO val,GDino,0.15,baseball bat,20.2,0.05,0.0,0.05,0.4678950748003731,0.0,1.0
COCO val,GDino,0.15,baseball glove,49.25,0.4,0.0,0.11595238095238095,0.4529263018707181,0.0,1.0
COCO val,GDino,0.15,bear,27.15,1.6,0.058333333333333334,0.3476388888888889,0.7110446898983215,0.06,0.9
COCO val,GDino,0.15,bed,45.65,0.65,0.0,0.08296101774042951,0.611608299231637,0.0,1.0
COCO val,GDino,0.15,bench,176.65,1.1,0.0,0.22632449494949497,0.5894063187250236,0.0,1.0
COCO val,GDino,0.15,bicycle,53.6,0.0,0.0,0.0,0.5791225842370984,0.0,1.0
COCO val,GDino,0.15,bird,63.45,3.85,0.0,0.4297457444516268,0.4085693978839792,0.0,1.0
COCO val,GDino,0.15,boat,153.1,0.0,0.0,0.0,0.6129442297846742,0.0,1.0
COCO val,GDino,0.15,book,182.9,0.15,0.0,0.006554079696394687,0.5496140990926901,0.0,1.0
COCO val,GDino,0.15,bottle,111.75,1.8,0.0,0.3501190476190476,0.5493864795377804,0.0,1.0
COCO val,GDino,0.15,bowl,46.35,1.3,0.1875,0.24144841269841272,7.86643004841666,0.19166666666666665,0.7
COCO val,GDino,0.15,broccoli,151.33333333333334,0.1111111111111111,0.0,0.020655270655270657,0.6582660943338329,0.0,1.0
COCO val,GDino,0.15,bus,47.8,1.75,0.0,0.5124523597317715,0.6665571501104809,0.0,1.0
COCO val,GDino,0.15,cake,50.31578947368421,0.631578947368421,0.013157894736842105,0.2771929824561403,0.6341333382729628,0.008771929824561403,0.9473684210526315
COCO val,GDino,0.15,car,204.75,0.8,0.0,0.04277212787800141,0.5827665144513677,0.0,1.0
COCO val,GDino,0.15,carrot,62.75,0.0,0.0,0.0,0.6004250247392788,0.0,1.0
COCO val,GDino,0.15,cat,22.65,4.85,0.07839285714285714,0.7408838383838383,3.399719924220167,0.08178571428571428,0.7
COCO val,GDino,0.15,cell phone,45.35,1.55,0.26666666666666666,0.4041666666666666,2.9796325470841083,0.26666666666666666,0.55
COCO val,GDino,0.15,chair,372.55,0.9,0.0,0.032547067496383954,0.8278159868916015,0.0,1.0
COCO val,GDino,0.15,clock,56.6,2.95,0.07083333333333333,0.5708608058608059,2.992369346317088,0.075,0.8
COCO val,GDino,0.15,couch,30.65,1.5,0.1,0.4647619047619047,3.08284295160791,0.1,0.75
COCO val,GDino,0.15,cow,48.8,2.4,0.13999999999999999,0.2935590226766697,1.6265655392960248,0.16666666666666669,0.65
COCO val,GDino,0.15,cup,89.45,1.45,0.05583333333333333,0.20203629703629705,1.52419629711965,0.04722222222222222,0.8
COCO val,GDino,0.15,dining table,65.6,0.05,0.0,0.003333333333333333,0.553961563740735,0.0,1.0
COCO val,GDino,0.15,dog,30.35,2.35,0.0,0.6234848484848484,0.553650817305501,0.0,1.0
COCO val,GDino,0.15,donut,44.35,2.75,0.025656565656565655,0.4133333333333333,0.670761647410918,0.025656565656565655,1.0
COCO val,GDino,0.15,elephant,60.95,4.1,0.0,0.28149601189449386,0.7226854783269013,0.0,1.0
COCO val,GDino,0.15,fire hydrant,14.25,1.1,0.0,0.55,0.6377221215190583,0.0,1.0
COCO val,GDino,0.15,fork,51.3,0.35,0.0,0.22916666666666666,0.4947048832904183,0.0,1.0
COCO val,GDino,0.15,frisbee,22.05,2.1,0.0,0.85,0.46453375922081985,0.0,1.0
COCO val,GDino,0.15,giraffe,29.8,3.75,0.0,0.4502335383914331,0.49574803409298945,0.0,1.0
COCO val,GDino,0.15,hair drier,8.7,0.0,0.0,0.0,0.4508300838478886,0.0,1.0
COCO val,GDino,0.15,handbag,156.26315789473685,0.42105263157894735,0.07894736842105263,0.07017543859649122,0.6891730054445189,0.07894736842105263,0.8947368421052632
COCO val,GDino,0.15,horse,42.4,3.95,0.03047619047619048,0.4744145792288207,1.3288833492567786,0.048333333333333325,0.9
COCO val,GDino,0.15,hot dog,33.1,1.75,0.0,0.12618780406899602,0.7740064503047557,0.0,1.0
COCO val,GDino,0.15,keyboard,14.0,0.75,0.0,0.5083333333333333,0.7727966141390659,0.0,1.0
COCO val,GDino,0.15,kite,42.15,0.75,0.0,0.21857142857142858,0.6019066995733559,0.0,1.0
COCO val,GDino,0.15,knife,48.35,0.2,0.0,0.08416666666666667,0.4612376552581162,0.0,1.0
COCO val,GDino,0.15,laptop,24.75,1.55,0.04583333333333333,0.5475,0.7781967733564228,0.04583333333333333,0.85
COCO val,GDino,0.15,microwave,33.95,0.4,0.3,0.1,0.9779222815927315,0.3,0.7
COCO val,GDino,0.15,motorcycle,40.3,1.05,0.0,0.2151115061409179,0.5651948737462584,0.0,1.0
COCO val,GDino,0.15,mouse,17.6,0.5,0.0,0.4,0.701816868339592,0.0,1.0
COCO val,GDino,0.15,orange,40.85,0.85,0.13999999999999999,0.21666666666666665,1.6806973800068896,0.125,0.85
COCO val,GDino,0.15,oven,25.94736842105263,0.10526315789473684,0.10526315789473684,0.0,0.9998056081327271,0.10526315789473684,0.8947368421052632
COCO val,GDino,0.15,parking meter,29.4,0.2,0.2,0.0,2.841194529575408,0.2,0.8
COCO val,GDino,0.15,person,1227.7,52.95,0.03089494783279345,0.2635521117755389,1.5177791086790158,0.021766149011463853,1.0
COCO val,GDino,0.15,pizza,43.78947368421053,1.9473684210526316,0.0,0.32904310601679027,0.9097088197909537,0.0,1.0
COCO val,GDino,0.15,potted plant,29.6,1.5,0.135,0.2865079365079365,1.5325486644496824,0.14166666666666666,0.8
COCO val,GDino,0.15,refrigerator,27.35,0.45,0.0,0.2583333333333333,0.7249856608462684,0.0,1.0
COCO val,GDino,0.15,remote,61.35,0.25,0.0,0.09908424908424909,0.4757892797196156,0.0,1.0
COCO val,GDino,0.15,sandwich,26.45,0.45,0.0,0.2718055555555555,0.44118405312635334,0.0,1.0
COCO val,GDino,0.15,scissors,25.0,0.0,0.0,0.0,0.5176254570088958,0.0,1.0
COCO val,GDino,0.15,sheep,53.35,2.15,0.0,0.18455166350677188,1.0249884003416472,0.0,1.0
COCO val,GDino,0.15,sink,39.55,1.5,0.0,0.30663690476190475,0.5729259434230444,0.0,1.0
COCO val,GDino,0.15,skateboard,45.55,0.75,0.025,0.27845238095238095,1.1873877500751413,0.025,0.95
COCO val,GDino,0.15,skis,111.95,0.75,0.1,0.08300650738150737,0.5478675005873855,0.1,0.9
COCO val,GDino,0.15,snowboard,25.8,0.75,0.0,0.20476190476190476,0.6232314943924667,0.0,1.0
COCO val,GDino,0.15,spoon,45.2,0.1,0.0,0.022916666666666665,0.6641459585485637,0.0,1.0
COCO val,GDino,0.15,sports ball,34.35,0.0,0.0,0.0,0.41057153999237067,0.0,1.0
COCO val,GDino,0.15,stop sign,26.1,1.05,0.0,0.6,0.5417940030884004,0.0,1.0
COCO val,GDino,0.15,suitcase,135.35,0.45,0.0,0.12879407795506864,0.5953421503699348,0.0,1.0
COCO val,GDino,0.15,surfboard,37.65,1.95,0.0,0.3915873015873016,0.5127362527482459,0.0,1.0
COCO val,GDino,0.15,teddy bear,79.45,2.25,0.0625,0.36385634293242985,0.9944549699672912,0.04583333333333333,0.75
COCO val,GDino,0.15,tennis racket,31.2,0.0,0.0,0.0,0.4476805406053825,0.0,1.0
COCO val,GDino,0.15,tie,88.55,1.8,0.0,0.2985732323232323,0.5134596340937906,0.0,1.0
COCO val,GDino,0.15,toaster,11.4,0.15,0.0,0.1125,0.41093589893235116,0.0,1.0
COCO val,GDino,0.15,toilet,43.8,2.45,0.0725,0.4270436507936508,0.7629693800763114,0.0725,0.8
