seed,n_tp,n_tp_reachable_T1,n_tp_reachable_tight,n_tp_rejected,n_rejected_total,ceiling_T1,ceiling_tight,actual_recall,efficiency_T1,efficiency_tight,C_m,m,phi_max,n_tp_score>=0.0,ceiling_score>=0.0,n_tp_score>=0.1,ceiling_score>=0.1,n_tp_score>=0.2,ceiling_score>=0.2,n_tp_score>=0.3,ceiling_score>=0.3,n_tp_score>=0.4,ceiling_score>=0.4,n_tp_score>=0.5,ceiling_score>=0.5,config
1,513,39,40,40,40,0.07602339181286549,0.07797270955165692,0.07797270955165692,1.0256410256410255,1.0,1411.73089443069,1670,121.0189655172414,513,0.07602339181286549,437,0.08924485125858124,349,0.11174785100286533,263,0.1482889733840304,196,0.1989795918367347,150,0.26,COCO-1k/OWL
2,537,42,43,43,43,0.0782122905027933,0.08007448789571694,0.08007448789571694,1.0238095238095237,1.0,2256.542395690523,2030,325.6487919858574,537,0.0782122905027933,450,0.09333333333333334,364,0.11538461538461539,266,0.15789473684210525,189,0.2222222222222222,141,0.2978723404255319,COCO-1k/OWL
3,553,42,44,44,45,0.0759493670886076,0.07956600361663653,0.07956600361663653,1.0476190476190477,1.0,1818.8945420180225,1757,160.5430463576159,553,0.0759493670886076,474,0.08860759493670886,336,0.125,218,0.1926605504587156,147,0.2857142857142857,118,0.3559322033898305,COCO-1k/OWL
4,603,55,57,57,57,0.0912106135986733,0.0945273631840796,0.0945273631840796,1.0363636363636364,1.0,2505.5914016438833,1674,331.9323583180987,603,0.0912106135986733,527,0.10436432637571158,385,0.14285714285714285,268,0.20522388059701493,195,0.28205128205128205,155,0.3548387096774194,COCO-1k/OWL
5,556,30,30,30,31,0.0539568345323741,0.0539568345323741,0.0539568345323741,1.0,1.0,2096.0012520911814,1798,121.70588235294117,556,0.0539568345323741,466,0.06437768240343347,351,0.08547008547008547,238,0.12605042016806722,171,0.17543859649122806,130,0.23076923076923078,COCO-1k/OWL
6,534,41,43,43,44,0.07677902621722846,0.08052434456928839,0.08052434456928839,1.048780487804878,1.0,3326.831774699537,2002,329.38524590163934,534,0.07677902621722846,445,0.09213483146067415,351,0.1168091168091168,258,0.15891472868217055,190,0.21578947368421053,142,0.2887323943661972,COCO-1k/OWL
7,560,53,55,55,56,0.09464285714285714,0.09821428571428571,0.09821428571428571,1.0377358490566038,1.0,1928.7082476482115,1703,379.9925742574257,560,0.09464285714285714,478,0.1108786610878661,363,0.14600550964187328,273,0.19413919413919414,192,0.2760416666666667,138,0.38405797101449274,COCO-1k/OWL
8,494,59,60,60,61,0.1194331983805668,0.1214574898785425,0.1214574898785425,1.0169491525423728,1.0,2541.4476436510986,2430,320.4028290282903,494,0.1194331983805668,399,0.14786967418546365,318,0.18553459119496854,256,0.23046875,186,0.3172043010752688,135,0.43703703703703706,COCO-1k/OWL
9,575,59,60,60,63,0.10260869565217391,0.10434782608695652,0.10434782608695652,1.0169491525423728,1.0,1986.5761973107763,1544,355.96884735202497,575,0.10260869565217391,490,0.12040816326530612,365,0.16164383561643836,275,0.21454545454545454,203,0.29064039408866993,165,0.3575757575757576,COCO-1k/OWL
10,447,56,56,56,56,0.12527964205816555,0.12527964205816555,0.12527964205816555,1.0,1.0,2681.0706605575433,1989,183.7573047107931,447,0.12527964205816555,392,0.14285714285714285,318,0.1761006289308176,223,0.25112107623318386,159,0.3522012578616352,126,0.4444444444444444,COCO-1k/OWL
