dataset,detector,alpha,bin,n_families_mean,mean_K,total_rejections_mean,fdp_pooled_mean,fdp_pooled_std,per_family_fdp_mean,recall_mean,pass_rate,family_share
COCO val,YOLO-World,0.1,K=1,91.55,1.0,26.35,0.007601402806663726,0.014417080163717934,0.007601402806663726,0.3737583056672215,1.0,0.4359523809523809
COCO val,YOLO-World,0.1,K>20,4.95,51.01079365079365,0.0,0.0,0.0,0.0,0.0,1.0,0.023571428571428573
COCO val,YOLO-World,0.15,11-20,6.65,13.372406204906204,3.45,0.0413510101010101,0.1151742435330478,0.0359375,0.06942378267250035,0.95,0.03166666666666667
COCO val,YOLO-World,0.15,2-5,92.05,2.9098677838284748,31.3,0.05824321427745671,0.04855873359567385,0.05391729396210394,0.18417818446014206,0.95,0.4383333333333333
COCO val,YOLO-World,0.15,6-10,14.8,7.603166489942805,5.35,0.0038461538461538464,0.017200522903844537,0.003125,0.08106107663109777,1.0,0.07047619047619048
COCO val,YOLO-World,0.15,K=1,91.55,1.0,27.1,0.00708654998642483,0.013320764877072946,0.00708654998642483,0.3850592106445971,1.0,0.4359523809523809
COCO val,YOLO-World,0.15,K>20,4.95,51.01079365079365,0.65,0.06666666666666667,0.2319507913128198,0.06666666666666667,0.006398350104038213,0.9,0.023571428571428573
COCO val,YOLO-World,0.2,11-20,6.65,13.372406204906204,4.0,0.04409722222222222,0.11822259853933642,0.04375,0.07775115987783812,0.95,0.03166666666666667
COCO val,YOLO-World,0.2,2-5,92.05,2.9098677838284748,32.95,0.0585691216575988,0.04839385228904997,0.05511263499635592,0.19364923105201776,1.0,0.4383333333333333
COCO val,YOLO-World,0.2,6-10,14.8,7.603166489942805,5.95,0.003125,0.013975424859373685,0.0025,0.09117040273739227,1.0,0.07047619047619048
COCO val,YOLO-World,0.2,K=1,91.55,1.0,27.5,0.00689431883864657,0.013090972955761048,0.00689431883864657,0.3912130567984432,1.0,0.4359523809523809
COCO val,YOLO-World,0.2,K>20,4.95,51.01079365079365,0.8,0.06666666666666667,0.2319507913128198,0.06666666666666667,0.008648795736836787,0.9,0.023571428571428573
VOC 2012,GDino,0.05,11-20,90.05,14.454066543890377,19.6,0.007446236559139785,0.019023667244109914,0.009768009768009766,0.16224454708420805,0.95,0.1610912343470483
VOC 2012,GDino,0.05,2-5,193.95,3.236670471779052,64.2,0.06138588463489756,0.039478649491048436,0.0715552382270723,0.5840116339532486,0.5,0.34695885509839
VOC 2012,GDino,0.05,6-10,116.85,7.6806653490477625,26.7,0.017559263379063154,0.024384535101023768,0.021775163830874557,0.2747141237546079,0.9,0.2090339892665474
VOC 2012,GDino,0.05,K=1,82.05,1.0,29.85,0.07173285121311437,0.0437579172814147,0.07173285121311437,0.9710657134260077,0.4,0.14677996422182468
VOC 2012,GDino,0.05,K>20,76.1,39.93326428094632,9.6,0.015948275862068966,0.0560972704208514,0.014642857142857143,0.04102047848320891,0.95,0.1361359570661896
VOC 2012,GDino,0.1,11-20,90.05,14.454066543890377,34.75,0.021275600194656574,0.02299194000929298,0.020107809499513463,0.2844735230052245,1.0,0.1610912343470483
VOC 2012,GDino,0.1,2-5,193.95,3.236670471779052,69.05,0.08194277393765918,0.04319027658278516,0.09562856953170422,0.6139529268760645,0.7,0.34695885509839
VOC 2012,GDino,0.1,6-10,116.85,7.6806653490477625,36.15,0.04007544996441173,0.03451569126366811,0.04097287303489349,0.36089339801017045,0.9,0.2090339892665474
VOC 2012,GDino,0.1,K=1,82.05,1.0,30.1,0.0774714930807885,0.04413625360979037,0.0774714930807885,0.9727323800926742,0.75,0.14677996422182468
VOC 2012,GDino,0.1,K>20,76.1,39.93326428094632,26.35,0.03148167939733554,0.044222145300322695,0.022806186868686868,0.1142704846692381,0.9,0.1361359570661896
VOC 2012,GDino,0.15,11-20,90.05,14.454066543890377,40.55,0.03285080639802122,0.029739862386609008,0.02838486930328362,0.3277946404777581,1.0,0.1610912343470483
VOC 2012,GDino,0.15,2-5,193.95,3.236670471779052,72.4,0.09517639777940469,0.0433703298317088,0.1113732022499915,0.6333092367072433,0.95,0.34695885509839
