alpha,num_test_families,num_rejected_families,total_rejections,fp,tp,fdp,recall,mean_family_fdp,threshold,cal_loss,cal_bound,cal_rejections,cal_fp,cal_tp,seed,method
0.2,238,223,512,159,353,0.310546875,0.9388297872340425,0.26365212751767375,0.1143973544239997,0.19627684407096171,0.19963970246397025,541,140,401,3,scoregate_family_crc
0.05,238,191,305,27,278,0.08852459016393442,0.7942857142857143,0.05721288515406163,0.5391232371330261,0.04253618113912232,0.04654230590423059,354,27,327,4,scoregate_family_crc
0.1,238,201,349,49,300,0.14040114613180515,0.8571428571428571,0.09897504456327985,0.336603581905365,0.09415138604461393,0.09794154760928082,408,56,352,4,scoregate_family_crc
0.15,238,211,390,72,318,0.18461538461538463,0.9085714285714286,0.14138655462184874,0.2150836884975433,0.14522170541630955,0.148798183636325,454,86,368,4,scoregate_family_crc
0.2,238,216,417,90,327,0.2158273381294964,0.9342857142857143,0.16098978052759563,0.145423948764801,0.19627289512296145,0.19963577003876498,498,118,380,4,scoregate_family_crc
0.05,238,189,356,34,322,0.09550561797752809,0.7630331753554502,0.05418167266906763,0.5381105542182922,0.04385504201680672,0.04785564853556486,341,24,317,5,scoregate_family_crc
0.1,238,200,400,49,351,0.1225,0.8317535545023697,0.07382119514472454,0.3783783316612243,0.09610383369033887,0.09988582601799435,379,46,333,5,scoregate_family_crc
0.15,238,210,460,89,371,0.1934782608695652,0.8791469194312796,0.1244956957141831,0.2133996784687042,0.14589941239653756,0.14947305502249347,448,81,367,5,scoregate_family_crc
0.2,238,223,530,139,391,0.2622641509433962,0.9265402843601895,0.20637088168600773,0.1205550506711006,0.19572267503492624,0.19908785212683033,507,125,382,5,scoregate_family_crc
0.05,238,189,301,16,285,0.053156146179401995,0.7620320855614974,0.04089635854341736,0.653578519821167,0.046008403361344534,0.049999999999999996,289,19,270,6,scoregate_family_crc
0.1,238,209,355,37,318,0.10422535211267606,0.8502673796791443,0.08682306255835667,0.4356156885623932,0.09474789915966389,0.09853556485355651,353,49,304,6,scoregate_family_crc
0.15,238,212,386,51,335,0.13212435233160622,0.8957219251336899,0.10438008536748034,0.3122188448905945,0.1446828731492597,0.14826160589758916,394,77,317,6,scoregate_family_crc
0.2,238,222,436,83,353,0.19036697247706422,0.9438502673796791,0.14988995598239296,0.1647835075855255,0.19285547552354274,0.19623264926612205,457,115,342,6,scoregate_family_crc
0.05,238,186,331,44,287,0.13293051359516617,0.7884615384615384,0.08492647058823528,0.5157385468482971,0.04447945845004669,0.04847745234774524,381,28,353,7,scoregate_family_crc
