seed,template,alpha,cal_null_count,tmpl_phi_max,tmpl_C_m,global_phi_max,global_C_m,global_m,fit_phi_max,mean_K,median_K,T1_global,T1_tmpl,phi_max_below_T1_global,phi_max_below_T1_tmpl
0,a {cat} in the scene,0.1,2515,13.023583131882889,2257.7102872688456,13.023583131882889,7832.0330560442035,8186,13.023583131882889,55.395348837209305,44.0,568.3945493888963,637.429582812724,True,True
0,a {cat} in the scene,0.15,2515,13.023583131882889,2257.7102872688456,13.023583131882889,7832.0330560442035,8186,13.023583131882889,55.395348837209305,44.0,369.97951853422006,388.4001317527113,True,True
0,a {cat} in the scene,0.2,2515,13.023583131882889,2257.7102872688456,13.023583131882889,7832.0330560442035,8186,13.023583131882889,55.395348837209305,44.0,274.24584556387526,279.288409827499,True,True
0,a {cat} object,0.05,464,13.023583131882889,356.57804056926034,13.023583131882889,7832.0330560442035,8186,13.023583131882889,42.892857142857146,13.5,916.7191349903602,inf,True,True
0,a {cat} object,0.1,464,13.023583131882889,356.57804056926034,13.023583131882889,7832.0330560442035,8186,13.023583131882889,42.892857142857146,13.5,433.0177649226652,4240.101254689922,True,True
0,a {cat} object,0.15,464,13.023583131882889,356.57804056926034,13.023583131882889,7832.0330560442035,8186,13.023583131882889,42.892857142857146,13.5,283.4546262794894,569.4816844729811,True,True
0,a {cat} object,0.2,464,13.023583131882889,356.57804056926034,13.023583131882889,7832.0330560442035,8186,13.023583131882889,42.892857142857146,13.5,210.68471001583757,305.2389356547981,True,True
0,other,0.05,1669,13.023583131882889,1993.7311867201452,13.023583131882889,7832.0330560442035,8186,13.023583131882889,13.824074074074074,11.0,273.73832666946015,395.56686535191716,True,True
0,other,0.1,1669,13.023583131882889,1993.7311867201452,13.023583131882889,7832.0330560442035,8186,13.023583131882889,13.824074074074074,11.0,134.51837933007843,179.9335466223283,True,True
0,other,0.15,1669,13.023583131882889,1993.7311867201452,13.023583131882889,7832.0330560442035,8186,13.023583131882889,13.824074074074074,11.0,89.16841817126289,116.45243385521603,True,True
0,other,0.2,1669,13.023583131882889,1993.7311867201452,13.023583131882889,7832.0330560442035,8186,13.023583131882889,13.824074074074074,11.0,66.6865056252944,86.0823234267381,True,True
0,the {cat},0.05,273,13.023583131882889,271.89925506703014,13.023583131882889,7832.0330560442035,8186,13.023583131882889,19.15,10.0,384.3757893983764,inf,True,True
0,the {cat},0.1,273,13.023583131882889,271.89925506703014,13.023583131882889,7832.0330560442035,8186,13.023583131882889,19.15,10.0,187.58480773340816,631.1358466101364,True,True
0,the {cat},0.15,273,13.023583131882889,271.89925506703014,13.023583131882889,7832.0330560442035,8186,13.023583131882889,19.15,10.0,124.06603773947101,237.21506763251145,True,True
0,the {cat},0.2,273,13.023583131882889,271.89925506703014,13.023583131882889,7832.0330560442035,8186,13.023583131882889,19.15,10.0,92.68248603321273,146.05528007106946,True,True
1,a photo of a {cat},0.05,352,13.30422140120416,365.29079421451934,13.30422140120416,8031.061941603731,8121,13.30422140120416,19.0,17.0,394.18800540033806,inf,True,True
1,a photo of a {cat},0.1,352,13.30422140120416,365.29079421451934,13.30422140120416,8031.061941603731,8121,13.30422140120416,19.0,17.0,192.37289068390174,425.7990852807279,True,True
1,a photo of a {cat},0.15,352,13.30422140120416,365.29079421451934,13.30422140120416,8031.061941603731,8121,13.30422140120416,19.0,17.0,127.23269981695229,204.4337287209387,True,True
1,a photo of a {cat},0.2,352,13.30422140120416,365.29079421451934,13.30422140120416,8031.061941603731,8121,13.30422140120416,19.0,17.0,95.048073309126,134.50630019526872,True,True
1,a small {cat} near the center,0.05,2412,13.30422140120416,2073.0409475225897,13.30422140120416,8031.061941603731,8121,13.30422140120416,54.651162790697676,40.0,1248.8499806626899,1716.6074901524287,True,True
1,a small {cat} near the center,0.1,2412,13.30422140120416,2073.0409475225897,13.30422140120416,8031.061941603731,8121,13.30422140120416,54.651162790697676,40.0,579.3776612074673,606.9906461179538,True,True
1,a small {cat} near the center,0.15,2412,13.30422140120416,2073.0409475225897,13.30422140120416,8031.061941603731,8121,13.30422140120416,54.651162790697676,40.0,377.18155127053774,368.6772762425853,True,True
1,a small {cat} near the center,0.2,2412,13.30422140120416,2073.0409475225897,13.30422140120416,8031.061941603731,8121,13.30422140120416,54.651162790697676,40.0,279.6032480795145,264.7374836525821,True,True
1,a visible {cat} in the scene,0.05,427,13.30422140120416,447.02134158213164,13.30422140120416,8031.061941603731,8121,13.30422140120416,18.892857142857142,9.5,391.8566812806336,3368.5796253126405,True,True
1,a visible {cat} in the scene,0.1,427,13.30422140120416,447.02134158213164,13.30422140120416,8031.061941603731,8121,13.30422140120416,18.892857142857142,9.5,191.26224607242614,353.2630560157567,True,True
1,a visible {cat} in the scene,0.15,427,13.30422140120416,447.02134158213164,13.30422140120416,8031.061941603731,8121,13.30422140120416,18.892857142857142,9.5,126.50392060090323,186.40571472248743,True,True
1,a visible {cat} in the scene,0.2,427,13.30422140120416,447.02134158213164,13.30422140120416,8031.061941603731,8121,13.30422140120416,18.892857142857142,9.5,94.50578070810677,126.60578739530334,True,True
1,a {cat} in the scene,0.05,2682,13.30422140120416,2512.7521361821337,13.30422140120416,8031.061941603731,8121,13.30422140120416,59.40350877192982,44.0,1376.05447579258,1996.9672303136224,True,True
1,a {cat} in the scene,0.1,2682,13.30422140120416,2512.7521361821337,13.30422140120416,8031.061941603731,8121,13.30422140120416,59.40350877192982,44.0,633.7346999554929,714.54667661418,True,True
1,a {cat} in the scene,0.15,2682,13.30422140120416,2512.7521361821337,13.30422140120416,8031.061941603731,8121,13.30422140120416,59.40350877192982,44.0,411.661664442887,435.1197210297159,True,True
1,a {cat} in the scene,0.2,2682,13.30422140120416,2512.7521361821337,13.30422140120416,8031.061941603731,8121,13.30422140120416,59.40350877192982,44.0,304.83982626798365,312.7983887292264,True,True
1,a {cat} object,0.05,394,13.30422140120416,336.3114479117996,13.30422140120416,8031.061941603731,8121,13.30422140120416,27.416666666666668,16.0,581.4487431863975,inf,True,True
