alpha,num_test_families,num_rejected_families,total_rejections,fp,tp,fdp,recall,mean_family_fdp,threshold,cal_loss,cal_bound,cal_rejections,cal_fp,cal_tp,seed,method
0.05,251,101,147,27,120,0.1836734693877551,0.267260579064588,0.05108138873079112,0.3338001072406769,0.04530765825586543,0.04909611992945326,178,31,147,11,scoregate_family_crc
0.1,251,142,237,60,177,0.25316455696202533,0.39420935412026725,0.0949203187250996,0.2491705864667892,0.09548659618380734,0.09907593508783985,288,72,216,11,scoregate_family_crc
0.15,251,192,421,130,291,0.3087885985748218,0.6481069042316259,0.1567302219692658,0.1844069063663482,0.14537247834060582,0.14876385739480977,475,157,318,11,scoregate_family_crc
0.2,251,201,514,175,339,0.3404669260700389,0.755011135857461,0.18080218807310441,0.157782956957817,0.19370230869373617,0.19690190270685626,595,234,361,11,scoregate_family_crc
0.05,251,115,181,40,141,0.22099447513812154,0.3271461716937355,0.05952380952380953,0.3072497248649597,0.045086321381142096,0.04887566137566138,157,30,127,12,scoregate_family_crc
0.1,251,171,359,107,252,0.298050139275766,0.5846867749419954,0.10572305074297106,0.2158798724412918,0.09609498513880986,0.09968190980095744,306,81,225,12,scoregate_family_crc
0.15,251,203,537,203,334,0.3780260707635009,0.7749419953596288,0.16399816104526674,0.1669263690710067,0.14650465736123108,0.14989154364154367,458,151,307,12,scoregate_family_crc
0.2,251,211,621,267,354,0.42995169082125606,0.8213457076566125,0.19705940222403778,0.1405298560857772,0.19288410909456138,0.19608694993148773,556,226,330,12,scoregate_family_crc
0.05,251,104,162,38,124,0.2345679012345679,0.2973621103117506,0.05728514513375071,0.3284871876239776,0.04530765825586543,0.04909611992945326,162,28,134,13,scoregate_family_crc
0.1,251,164,305,88,217,0.28852459016393445,0.5203836930455635,0.11162565853800914,0.2303553819656372,0.09452524014277001,0.09811839395172728,302,80,222,13,scoregate_family_crc
0.15,251,206,504,184,320,0.36507936507936506,0.7673860911270983,0.1619999305609805,0.1671159714460373,0.14632213735799393,0.14970974792403363,493,172,321,13,scoregate_family_crc
0.2,251,214,624,274,350,0.4391025641025641,0.8393285371702638,0.21029482801395152,0.1304699778556823,0.19502121963052238,0.19821557987008379,621,269,352,13,scoregate_family_crc
0.05,251,84,142,24,118,0.16901408450704225,0.2675736961451247,0.03559096945551129,0.3476046323776245,0.044322709163346616,0.04811507936507937,150,25,125,14,scoregate_family_crc
